title,desc,date,datetime,link,site
"'Yes In My Backyard' Movement, YIMBY, Grows As Bay Area Housing Tightens","As soon as Alex Sharenko saw the zucchini, he knew it would go viral. At a Berkeley City Council meeting last year, a developer was trying to get permission to ...",,,news.google.com/./articles/CBMiTWh0dHBzOi8vd3d3LndidXIub3JnL2hlcmVhbmRub3cvMjAxOC8wOC8wOC95aW1ieS1iYXktYXJlYS1ob3VzaW5nLXJlZ3VsYXRpb25z0gEA?hl=en-US&gl=US&ceid=US%3Aen,
YIMBYs Exposed: The Techies Hawking Free Market “Solutions” to the Nation's Housing Crisis,Anti-displacement activists hate them. Tech firms and big developers love them—and shower them with cash.,,,news.google.com/./articles/CBMiVGh0dHBzOi8vaW50aGVzZXRpbWVzLmNvbS9mZWF0dXJlcy95aW1ieXNfYWN0aXZpc3RzX3Nhbl9mcmFuY2lzY29faG91c2luZ19jcmlzaXMuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,
Affordable housing fees kept intact after SB 1085 amendments – The San Francisco Examiner,"Some affordable housing advocates are breathing a sigh of relief after a proposed state bill was amended, keeping intact a portion of San Francisco's affordable ...","Aug 21, 2020",2020-08-21 07:00:00,news.google.com/./articles/CBMia2h0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3Mvc2FuLWZyYW5jaXNjb3MtYWZmb3JkYWJsZS1ob3VzaW5nLWZlZS1rZXB0LWludGFjdC1hZnRlci1zYi0xMDg1LWFtZW5kbWVudHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
A Window into the Crafting of DeSegregate CT State Zoning Legislation,"This article has been updated to clarify that *accessory apartments have been allowed in Greenwich since the 1980s, though **not in the R6 zone, which is ...",Jan 25,2021-01-25 08:00:00,news.google.com/./articles/CBMidmh0dHBzOi8vZ3JlZW53aWNoZnJlZXByZXNzLmNvbS9uZXdzL2dvdmVybm1lbnQvYS13aW5kb3ctaW50by10aGUtY3JhZnRpbmctb2YtZGVzZWdyZWdhdGUtY3Qtem9uaW5nLWxlZ2lzbGF0aW9uLTE1MzQ0Ny_SAQA?hl=en-US&gl=US&ceid=US%3Aen,Greenwich Free Press
‘Whole new crisis’: California lawmakers wrestle with coronavirus on top of housing shortages,"SoMa Square Complex, a high density apartment, near Folsom and 3rd streets in San Francisco, Calif. is seen Saturday, Sept. 22, 2018. Complexes like this one align with the housing views brought forward by YIMBY Action.","May 9, 2020",2020-05-09 07:00:00,news.google.com/./articles/CAIiEHi-qDWMqwKV0diwgLERMogqGQgEKhAIACoHCAowk-T4CjDyst8CMKGcxAU?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Chronicle
Filling Out Your Ballot? Here Are the Best Bay Area Voter Guides to Help.,"Filling out a California ballot is never an easy task, with its endless state, county, and city measures for you to weigh in on — all on top of choosing the candidate ...",Oct 15,2020-10-15 08:33:14,news.google.com/./articles/CBMibmh0dHBzOi8vdGhlYm9sZGl0YWxpYy5jb20vZmlsbGluZy1vdXQteW91ci1iYWxsb3QtaGVyZS1hcmUtdGhlLWJlc3QtYmF5LWFyZWEtdm90ZXItZ3VpZGVzLXRvLWhlbHAtOTYzZjkwZGQ0NzQw0gEsaHR0cHM6Ly90aGVib2xkaXRhbGljLmNvbS9hbXAvcC85NjNmOTBkZDQ3NDA?hl=en-US&gl=US&ceid=US%3Aen,thebolditalic
Mar moves to block appointment of YIMBY activist to regional planning role – The San Francisco Examiner,Update (10:20 a.m.): YIMBY leader Sonja Trauss' appointment to an advisory committee to a regional housing agency was confirmed Thursday amid opposition ...,,,news.google.com/./articles/CBMicGh0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvbWF5b3ItdHJpZXMtdG8tYXBwb2ludC1jb250cm92ZXJzaWFsLXlpbWJ5LWxlYWRlci1zdXBlcnZpc29yLW1vdmVzLXRvLWJsb2NrLWhlci_SAQA?hl=en-US&gl=US&ceid=US%3Aen,
West Side Rag » City Council Election 2021: Sara Lind Has Found Her Place and Wants to Make It Better,"By Carol Tannenhauser. Sara Lind likens herself to an immigrant on the Upper West Side. She came here seven years ago from a small, conservative town in ...",7 days ago,2021-03-02 15:02:23,news.google.com/./articles/CBMie2h0dHBzOi8vd3d3Lndlc3RzaWRlcmFnLmNvbS8yMDIxLzAzLzAyL2NpdHktY291bmNpbC1lbGVjdGlvbi0yMDIxLXNhcmEtbGluZC1oYXMtZm91bmQtaGVyLXBsYWNlLWFuZC13YW50cy10by1tYWtlLWl0LWJldHRlctIBAA?hl=en-US&gl=US&ceid=US%3Aen,westsiderag.com
YIMBY organizing wins in the Haight-Ashbury – The San Francisco Examiner,By Corey Smith. The recent declaration by Supervisor Preston supporting the maximum number of homes at 730 Stanyan is a big win for YIMBYs and ...,Sep 30,2020-09-30 07:00:00,news.google.com/./articles/CBMiT2h0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL29waW5pb24veWltYnktb3JnYW5pemluZy13aW5zLWluLXRoZS1oYWlnaHQtYXNoYnVyeS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,San Francisco Examiner
Prop. E ties office development to housing production – The San Francisco Examiner,A measure on the March 3 ballot will curtail office development if San Francisco fails to deliver on affordable housing development.,,,news.google.com/./articles/CBMiVWh0dHBzOi8vd3d3LnNmZXhhbWluZXIuY29tL25ld3MvcHJvcC1lLXRpZXMtb2ZmaWNlLWRldmVsb3BtZW50LXRvLWhvdXNpbmctcHJvZHVjdGlvbi_SAQA?hl=en-US&gl=US&ceid=US%3Aen,
